FileVersion 1 7;
FileTimestamp 06-06-2021 14:20:59;
TiffSpec 6.0 NA R;
InspectionStationID "RudolphTechnologies" "XCluster" "2QAVI03";
SampleType WAFER;
19 -21
20 -21
21 -21
22 -21
23 -21
24 -21
25 -21
26 -21
27 -21
28 -21
29 -21
30 -21
31 -21
32 -21
33 -21
-32 -20
-31 -20
-30 -20
-29 -20
-28 -20
-27 -20
-26 -20
-25 -20
-24 -20
-23 -20
-22 -20
-21 -20
-20 -20
-19 -20
-18 -20
-17 -20
-16 -20
-15 -20
-14 -20
-13 -20
-12 -20
-11 -20
-10 -20
-9 -20
-8 -20
-7 -20
-6 -20
-5 -20
-4 -20
-3 -20
-2 -20
-1 -20
0 -20
1 -20
2 -20
3 -20
4 -20
5 -20
6 -20
7 -20
8 -20
9 -20
10 -20
11 -20
12 -20
13 -20
14 -20
15 -20
16 -20
17 -20
18 -20
19 -20
20 -20
21 -20
22 -20
23 -20
24 -20
25 -20
26 -20
27 -20
28 -20
29 -20
30 -20
31 -20
32 -20
33 -20
34 -20
-33 -19
-32 -19
-31 -19
-30 -19
-29 -19
-28 -19
-27 -19
-26 -19
-25 -19
-24 -19
-23 -19
-22 -19
-21 -19
-20 -19
-19 -19
-18 -19
-17 -19
-16 -19
-15 -19
-14 -19
-13 -19
-12 -19
-11 -19
-10 -19
-9 -19
-8 -19
-7 -19
-6 -19
-5 -19
-4 -19
-3 -19
-2 -19
-1 -19
0 -19
1 -19
2 -19
3 -19
4 -19
5 -19
6 -19
7 -19
8 -19
9 -19
10 -19
11 -19
12 -19
13 -19
14 -19
15 -19
16 -19
17 -19
18 -19
19 -19
20 -19
21 -19
22 -19
23 -19
24 -19
25 -19
26 -19
27 -19
28 -19
29 -19
30 -19
31 -19
32 -19
33 -19
34 -19
-33 -18
-32 -18
-31 -18
-30 -18
-29 -18
-28 -18
-27 -18
-26 -18
-25 -18
-24 -18
-23 -18
-22 -18
-21 -18
-20 -18
-19 -18
-18 -18
-17 -18
-16 -18
-15 -18
-14 -18
-13 -18
-12 -18
-11 -18
-10 -18
-9 -18
-8 -18
-7 -18
-6 -18
-5 -18
-4 -18
-3 -18
-2 -18
-1 -18
0 -18
1 -18
2 -18
3 -18
4 -18
5 -18
6 -18
7 -18
8 -18
9 -18
10 -18
11 -18
12 -18
13 -18
14 -18
15 -18
16 -18
17 -18
18 -18
19 -18
20 -18
21 -18
22 -18
23 -18
24 -18
25 -18
26 -18
27 -18
28 -18
29 -18
30 -18
31 -18
32 -18
33 -18
34 -18
35 -18
-34 -17
-33 -17
-32 -17
-31 -17
-30 -17
-29 -17
-28 -17
-27 -17
-26 -17
-25 -17
-24 -17
-23 -17
-22 -17
-21 -17
-20 -17
-19 -17
-18 -17
-17 -17
-16 -17
-15 -17
-14 -17
-13 -17
-12 -17
-11 -17
-10 -17
-9 -17
-8 -17
-7 -17
-6 -17
-5 -17
-4 -17
-3 -17
-2 -17
-1 -17
0 -17
1 -17
2 -17
3 -17
4 -17
5 -17
6 -17
7 -17
8 -17
9 -17
10 -17
11 -17
12 -17
13 -17
14 -17
15 -17
16 -17
17 -17
18 -17
19 -17
20 -17
21 -17
22 -17
23 -17
24 -17
25 -17
26 -17
27 -17
28 -17
29 -17
30 -17
31 -17
32 -17
33 -17
34 -17
35 -17
36 -17
-35 -16
-34 -16
-33 -16
-32 -16
-31 -16
-30 -16
-29 -16
-28 -16
-27 -16
-26 -16
-25 -16
-24 -16
-23 -16
-22 -16
-21 -16
-20 -16
-19 -16
-18 -16
-17 -16
-16 -16
-15 -16
-14 -16
-13 -16
-12 -16
-11 -16
-10 -16
-9 -16
-8 -16
-7 -16
-6 -16
-5 -16
-4 -16
-3 -16
-2 -16
-1 -16
0 -16
1 -16
2 -16
3 -16
4 -16
5 -16
6 -16
7 -16
8 -16
9 -16
10 -16
11 -16
12 -16
13 -16
14 -16
15 -16
16 -16
17 -16
18 -16
19 -16
20 -16
21 -16
22 -16
23 -16
24 -16
25 -16
26 -16
27 -16
28 -16
29 -16
30 -16
31 -16
32 -16
33 -16
34 -16
35 -16
36 -16
-35 -15
-34 -15
-33 -15
-32 -15
-31 -15
-30 -15
-29 -15
-28 -15
-27 -15
-26 -15
-25 -15
-24 -15
-23 -15
-22 -15
-21 -15
-20 -15
-19 -15
-18 -15
-17 -15
-16 -15
-15 -15
-14 -15
-13 -15
-12 -15
-11 -15
-10 -15
-9 -15
-8 -15
-7 -15
-6 -15
-5 -15
-4 -15
-3 -15
-2 -15
-1 -15
0 -15
1 -15
2 -15
3 -15
4 -15
5 -15
6 -15
7 -15
8 -15
9 -15
10 -15
11 -15
12 -15
13 -15
14 -15
15 -15
16 -15
17 -15
18 -15
19 -15
20 -15
21 -15
22 -15
23 -15
24 -15
25 -15
26 -15
27 -15
28 -15
29 -15
30 -15
31 -15
32 -15
33 -15
34 -15
35 -15
36 -15
37 -15
-36 -14
-35 -14
-34 -14
-33 -14
-32 -14
-31 -14
-30 -14
-29 -14
-28 -14
-27 -14
-26 -14
-25 -14
-24 -14
-23 -14
-22 -14
-21 -14
-20 -14
-19 -14
-18 -14
-17 -14
-16 -14
-15 -14
-14 -14
-13 -14
-12 -14
-11 -14
-10 -14
-9 -14
-8 -14
-7 -14
-6 -14
-5 -14
-4 -14
-3 -14
-2 -14
-1 -14
0 -14
1 -14
2 -14
3 -14
4 -14
5 -14
6 -14
7 -14
8 -14
9 -14
10 -14
11 -14
12 -14
13 -14
14 -14
15 -14
16 -14
17 -14
18 -14
19 -14
20 -14
21 -14
22 -14
23 -14
24 -14
25 -14
26 -14
27 -14
28 -14
29 -14
30 -14
31 -14
32 -14
33 -14
34 -14
35 -14
36 -14
37 -14
-36 -13
-35 -13
-34 -13
-33 -13
-32 -13
-31 -13
-30 -13
-29 -13
-28 -13
-27 -13
-26 -13
-25 -13
-24 -13
-23 -13
-22 -13
-21 -13
-20 -13
-19 -13
-18 -13
-17 -13
-16 -13
-15 -13
-14 -13
-13 -13
-12 -13
-11 -13
-10 -13
-9 -13
-8 -13
-7 -13
-6 -13
-5 -13
-4 -13
-3 -13
-2 -13
-1 -13
0 -13
1 -13
2 -13
3 -13
4 -13
5 -13
6 -13
7 -13
8 -13
9 -13
10 -13
11 -13
12 -13
13 -13
14 -13
15 -13
16 -13
17 -13
18 -13
19 -13
20 -13
21 -13
22 -13
23 -13
24 -13
25 -13
26 -13
27 -13
28 -13
29 -13
30 -13
31 -13
32 -13
33 -13
34 -13
35 -13
36 -13
37 -13
38 -13
-36 -12
-35 -12
-34 -12
-33 -12
-32 -12
-31 -12
-30 -12
-29 -12
-28 -12
-27 -12
-26 -12
-25 -12
-24 -12
-23 -12
-22 -12
-21 -12
-20 -12
-19 -12
-18 -12
-17 -12
-16 -12
-15 -12
-14 -12
-13 -12
-12 -12
-11 -12
-10 -12
-9 -12
-8 -12
-7 -12
-6 -12
-5 -12
-4 -12
-3 -12
-2 -12
-1 -12
0 -12
1 -12
2 -12
3 -12
4 -12
5 -12
6 -12
7 -12
8 -12
9 -12
10 -12
11 -12
12 -12
13 -12
14 -12
15 -12
16 -12
17 -12
18 -12
19 -12
20 -12
21 -12
22 -12
23 -12
24 -12
25 -12
26 -12
27 -12
28 -12
29 -12
30 -12
31 -12
32 -12
33 -12
34 -12
35 -12
36 -12
37 -12
38 -12
-37 -11
-36 -11
-35 -11
-34 -11
-33 -11
-32 -11
-31 -11
-30 -11
-29 -11
-28 -11
-27 -11
-26 -11
-25 -11
-24 -11
-23 -11
-22 -11
-21 -11
-20 -11
-19 -11
-18 -11
-17 -11
-16 -11
-15 -11
-14 -11
-13 -11
-12 -11
-11 -11
-10 -11
-9 -11
-8 -11
-7 -11
-6 -11
-5 -11
-4 -11
-3 -11
-2 -11
-1 -11
0 -11
1 -11
2 -11
3 -11
4 -11
5 -11
6 -11
7 -11
8 -11
9 -11
10 -11
11 -11
12 -11
13 -11
14 -11
15 -11
16 -11
17 -11
18 -11
19 -11
20 -11
21 -11
22 -11
23 -11
24 -11
25 -11
26 -11
27 -11
28 -11
29 -11
30 -11
31 -11
32 -11
33 -11
34 -11
35 -11
36 -11
37 -11
38 -11
-37 -10
-36 -10
-35 -10
-34 -10
-33 -10
-32 -10
-31 -10
-30 -10
-29 -10
-28 -10
-27 -10
-26 -10
-25 -10
-24 -10
-23 -10
-22 -10
-21 -10
-20 -10
-19 -10
-18 -10
-17 -10
-16 -10
-15 -10
-14 -10
-13 -10
-12 -10
-11 -10
-10 -10
-9 -10
-8 -10
-7 -10
-6 -10
-5 -10
-4 -10
-3 -10
-2 -10
-1 -10
0 -10
1 -10
2 -10
3 -10
4 -10
5 -10
6 -10
7 -10
8 -10
9 -10
10 -10
11 -10
12 -10
13 -10
14 -10
15 -10
16 -10
17 -10
18 -10
19 -10
20 -10
21 -10
22 -10
23 -10
24 -10
25 -10
26 -10
27 -10
28 -10
29 -10
30 -10
31 -10
32 -10
33 -10
34 -10
35 -10
36 -10
37 -10
38 -10
39 -10
-37 -9
-36 -9
-35 -9
-34 -9
-33 -9
-32 -9
-31 -9
-30 -9
-29 -9
-28 -9
-27 -9
-26 -9
-25 -9
-24 -9
-23 -9
-22 -9
-21 -9
-20 -9
-19 -9
-18 -9
-17 -9
-16 -9
-15 -9
-14 -9
-13 -9
-12 -9
-11 -9
-10 -9
-9 -9
-8 -9
-7 -9
-6 -9
-5 -9
-4 -9
-3 -9
-2 -9
-1 -9
0 -9
1 -9
2 -9
3 -9
4 -9
5 -9
6 -9
7 -9
8 -9
9 -9
10 -9
11 -9
12 -9
13 -9
14 -9
15 -9
16 -9
17 -9
18 -9
19 -9
20 -9
21 -9
22 -9
23 -9
24 -9
25 -9
26 -9
27 -9
28 -9
29 -9
30 -9
31 -9
32 -9
33 -9
34 -9
35 -9
36 -9
37 -9
38 -9
39 -9
-38 -8
-37 -8
-36 -8
-35 -8
-34 -8
-33 -8
-32 -8
-31 -8
-30 -8
-29 -8
-28 -8
-27 -8
-26 -8
-25 -8
-24 -8
-23 -8
-22 -8
-21 -8
-20 -8
-19 -8
-18 -8
-17 -8
-16 -8
-15 -8
-14 -8
-13 -8
-12 -8
-11 -8
-10 -8
-9 -8
-8 -8
-7 -8
-6 -8
-5 -8
-4 -8
-3 -8
-2 -8
-1 -8
0 -8
1 -8
2 -8
3 -8
4 -8
5 -8
6 -8
7 -8
8 -8
9 -8
10 -8
11 -8
12 -8
13 -8
14 -8
15 -8
16 -8
17 -8
18 -8
19 -8
20 -8
21 -8
22 -8
23 -8
24 -8
25 -8
26 -8
27 -8
28 -8
29 -8
30 -8
31 -8
32 -8
33 -8
34 -8
35 -8
36 -8
37 -8
38 -8
39 -8
-38 -7
-37 -7
-36 -7
-35 -7
-34 -7
-33 -7
-32 -7
-31 -7
-30 -7
-29 -7
-28 -7
-27 -7
-26 -7
-25 -7
-24 -7
-23 -7
-22 -7
-21 -7
-20 -7
-19 -7
-18 -7
-17 -7
-16 -7
-15 -7
-14 -7
-13 -7
-12 -7
-11 -7
-10 -7
-9 -7
-8 -7
-7 -7
-6 -7
-5 -7
-4 -7
-3 -7
-2 -7
-1 -7
0 -7
1 -7
2 -7
3 -7
4 -7
5 -7
6 -7
7 -7
8 -7
9 -7
10 -7
11 -7
12 -7
13 -7
14 -7
15 -7
16 -7
17 -7
18 -7
19 -7
20 -7
21 -7
22 -7
23 -7
24 -7
25 -7
26 -7
27 -7
28 -7
29 -7
30 -7
31 -7
32 -7
33 -7
34 -7
35 -7
36 -7
37 -7
38 -7
39 -7
-38 -6
-37 -6
-36 -6
-35 -6
-34 -6
-33 -6
-32 -6
-31 -6
-30 -6
-29 -6
-28 -6
-27 -6
-26 -6
-25 -6
-24 -6
-23 -6
-22 -6
-21 -6
-20 -6
-19 -6
-18 -6
-17 -6
-16 -6
-15 -6
-14 -6
-13 -6
-12 -6
-11 -6
-10 -6
-9 -6
-8 -6
-7 -6
-6 -6
-5 -6
-4 -6
-3 -6
-2 -6
-1 -6
0 -6
1 -6
2 -6
3 -6
4 -6
5 -6
6 -6
7 -6
8 -6
9 -6
10 -6
11 -6
12 -6
13 -6
14 -6
15 -6
16 -6
17 -6
18 -6
19 -6
20 -6
21 -6
22 -6
23 -6
24 -6
25 -6
26 -6
27 -6
28 -6
29 -6
30 -6
31 -6
32 -6
33 -6
34 -6
35 -6
36 -6
37 -6
38 -6
39 -6
40 -6
-38 -5
-37 -5
-36 -5
-35 -5
-34 -5
-33 -5
-32 -5
-31 -5
-30 -5
-29 -5
-28 -5
-27 -5
-26 -5
-25 -5
-24 -5
-23 -5
-22 -5
-21 -5
-20 -5
-19 -5
-18 -5
-17 -5
-16 -5
-15 -5
-14 -5
-13 -5
-12 -5
-11 -5
-10 -5
-9 -5
-8 -5
-7 -5
-6 -5
-5 -5
-4 -5
-3 -5
-2 -5
-1 -5
0 -5
1 -5
2 -5
3 -5
4 -5
5 -5
6 -5
7 -5
8 -5
9 -5
10 -5
11 -5
12 -5
13 -5
14 -5
15 -5
16 -5
17 -5
18 -5
19 -5
20 -5
21 -5
22 -5
23 -5
24 -5
25 -5
26 -5
27 -5
28 -5
29 -5
30 -5
31 -5
32 -5
33 -5
34 -5
35 -5
36 -5
37 -5
38 -5
39 -5
40 -5
-38 -4
-37 -4
-36 -4
-35 -4
-34 -4
-33 -4
-32 -4
-31 -4
-30 -4
-29 -4
-28 -4
-27 -4
-26 -4
-25 -4
-24 -4
-23 -4
-22 -4
-21 -4
-20 -4
-19 -4
-18 -4
-17 -4
-16 -4
-15 -4
-14 -4
-13 -4
-12 -4
-11 -4
-10 -4
-9 -4
-8 -4
-7 -4
-6 -4
-5 -4
-4 -4
-3 -4
-2 -4
-1 -4
0 -4
1 -4
2 -4
3 -4
4 -4
5 -4
6 -4
7 -4
8 -4
9 -4
10 -4
11 -4
12 -4
13 -4
14 -4
15 -4
16 -4
17 -4
18 -4
19 -4
20 -4
21 -4
22 -4
23 -4
24 -4
25 -4
26 -4
27 -4
28 -4
29 -4
30 -4
31 -4
32 -4
33 -4
34 -4
35 -4
36 -4
37 -4
38 -4
39 -4
40 -4
-38 -3
-37 -3
-36 -3
-35 -3
-34 -3
-33 -3
-32 -3
-31 -3
-30 -3
-29 -3
-28 -3
-27 -3
-26 -3
-25 -3
-24 -3
-23 -3
-22 -3
-21 -3
-20 -3
-19 -3
-18 -3
-17 -3
-16 -3
-15 -3
-14 -3
-13 -3
-12 -3
-11 -3
-10 -3
-9 -3
-8 -3
-7 -3
-6 -3
-5 -3
-4 -3
-3 -3
-2 -3
-1 -3
0 -3
1 -3
2 -3
3 -3
4 -3
5 -3
6 -3
7 -3
8 -3
9 -3
10 -3
11 -3
12 -3
13 -3
14 -3
15 -3
16 -3
17 -3
18 -3
19 -3
20 -3
21 -3
22 -3
23 -3
24 -3
25 -3
26 -3
27 -3
28 -3
29 -3
30 -3
31 -3
32 -3
33 -3
34 -3
35 -3
36 -3
37 -3
38 -3
39 -3
40 -3
-38 -2
-37 -2
-36 -2
-35 -2
-34 -2
-33 -2
-32 -2
-31 -2
-30 -2
-29 -2
-28 -2
-27 -2
-26 -2
-25 -2
-24 -2
-23 -2
-22 -2
-21 -2
-20 -2
-19 -2
-18 -2
-17 -2
-16 -2
-15 -2
-14 -2
-13 -2
-12 -2
-11 -2
-10 -2
-9 -2
-8 -2
-7 -2
-6 -2
-5 -2
-4 -2
-3 -2
-2 -2
-1 -2
0 -2
1 -2
2 -2
3 -2
4 -2
5 -2
6 -2
7 -2
8 -2
9 -2
10 -2
11 -2
12 -2
13 -2
14 -2
15 -2
16 -2
17 -2
18 -2
19 -2
20 -2
21 -2
22 -2
23 -2
24 -2
25 -2
26 -2
27 -2
28 -2
29 -2
30 -2
31 -2
32 -2
33 -2
34 -2
35 -2
36 -2
37 -2
38 -2
39 -2
40 -2
-39 -1
-38 -1
-37 -1
-36 -1
-35 -1
-34 -1
-33 -1
-32 -1
-31 -1
-30 -1
-29 -1
-28 -1
-27 -1
-26 -1
-25 -1
-24 -1
-23 -1
-22 -1
-21 -1
-20 -1
-19 -1
-18 -1
-17 -1
-16 -1
-15 -1
-14 -1
-13 -1
-12 -1
-11 -1
-10 -1
-9 -1
-8 -1
-7 -1
-6 -1
-5 -1
-4 -1
-3 -1
-2 -1
-1 -1
0 -1
1 -1
2 -1
3 -1
4 -1
5 -1
6 -1
7 -1
8 -1
9 -1
10 -1
11 -1
12 -1
13 -1
14 -1
15 -1
16 -1
17 -1
18 -1
19 -1
20 -1
21 -1
22 -1
23 -1
24 -1
25 -1
26 -1
27 -1
28 -1
29 -1
30 -1
31 -1
32 -1
33 -1
34 -1
35 -1
36 -1
37 -1
38 -1
39 -1
40 -1
-39 0
-38 0
-37 0
-36 0
-35 0
-34 0
-33 0
-32 0
-31 0
-30 0
-29 0
-28 0
-27 0
-26 0
-25 0
-24 0
-23 0
-22 0
-21 0
-20 0
-19 0
-18 0
-17 0
-16 0
-15 0
-14 0
-13 0
-12 0
-11 0
-10 0
-9 0
-8 0
-7 0
-6 0
-5 0
-4 0
-3 0
-2 0
-1 0
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
-39 1
-38 1
-37 1
-36 1
-35 1
-34 1
-33 1
-32 1
-31 1
-30 1
-29 1
-28 1
-27 1
-26 1
-25 1
-24 1
-23 1
-22 1
-21 1
-20 1
-19 1
-18 1
-17 1
-16 1
-15 1
-14 1
-13 1
-12 1
-11 1
-10 1
-9 1
-8 1
-7 1
-6 1
-5 1
-4 1
-3 1
-2 1
-1 1
0 1
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
20 1
21 1
22 1
23 1
24 1
25 1
26 1
27 1
28 1
29 1
30 1
31 1
32 1
33 1
34 1
35 1
36 1
37 1
38 1
39 1
40 1
-38 2
-37 2
-36 2
-35 2
-34 2
-33 2
-32 2
-31 2
-30 2
-29 2
-28 2
-27 2
-26 2
-25 2
-24 2
-23 2
-22 2
-21 2
-20 2
-19 2
-18 2
-17 2
-16 2
-15 2
-14 2
-13 2
-12 2
-11 2
-10 2
-9 2
-8 2
-7 2
-6 2
-5 2
-4 2
-3 2
-2 2
-1 2
0 2
1 2
2 2
3 2
4 2
5 2
6 2
7 2
8 2
9 2
10 2
11 2
12 2
13 2
14 2
15 2
16 2
17 2
18 2
19 2
20 2
21 2
22 2
23 2
24 2
25 2
26 2
27 2
28 2
29 2
30 2
31 2
32 2
33 2
34 2
35 2
36 2
37 2
38 2
39 2
40 2
-38 3
-37 3
-36 3
-35 3
-34 3
-33 3
-32 3
-31 3
-30 3
-29 3
-28 3
-27 3
-26 3
-25 3
-24 3
-23 3
-22 3
-21 3
-20 3
-19 3
-18 3
-17 3
-16 3
-15 3
-14 3
-13 3
-12 3
-11 3
-10 3
-9 3
-8 3
-7 3
-6 3
-5 3
-4 3
-3 3
-2 3
-1 3
0 3
1 3
2 3
3 3
4 3
5 3
6 3
7 3
8 3
9 3
10 3
11 3
12 3
13 3
14 3
15 3
16 3
17 3
18 3
19 3
20 3
21 3
22 3
23 3
24 3
25 3
26 3
27 3
28 3
29 3
30 3
31 3
32 3
33 3
34 3
35 3
36 3
37 3
38 3
39 3
40 3
-38 4
-37 4
-36 4
-35 4
-34 4
-33 4
-32 4
-31 4
-30 4
-29 4
-28 4
-27 4
-26 4
-25 4
-24 4
-23 4
-22 4
-21 4
-20 4
-19 4
-18 4
-17 4
-16 4
-15 4
-14 4
-13 4
-12 4
-11 4
-10 4
-9 4
-8 4
-7 4
-6 4
-5 4
-4 4
-3 4
-2 4
-1 4
0 4
1 4
2 4
3 4
4 4
5 4
6 4
7 4
8 4
9 4
10 4
11 4
12 4
13 4
14 4
15 4
16 4
17 4
18 4
19 4
20 4
21 4
22 4
23 4
24 4
25 4
26 4
27 4
28 4
29 4
30 4
31 4
32 4
33 4
34 4
35 4
36 4
37 4
38 4
39 4
40 4
-38 5
-37 5
-36 5
-35 5
-34 5
-33 5
-32 5
-31 5
-30 5
-29 5
-28 5
-27 5
-26 5
-25 5
-24 5
-23 5
-22 5
-21 5
-20 5
-19 5
-18 5
-17 5
-16 5
-15 5
-14 5
-13 5
-12 5
-11 5
-10 5
-9 5
-8 5
-7 5
-6 5
-5 5
-4 5
-3 5
-2 5
-1 5
0 5
1 5
2 5
3 5
4 5
5 5
6 5
7 5
8 5
9 5
10 5
11 5
12 5
13 5
14 5
15 5
16 5
17 5
18 5
19 5
20 5
21 5
22 5
23 5
24 5
25 5
26 5
27 5
28 5
29 5
30 5
31 5
32 5
33 5
34 5
35 5
36 5
37 5
38 5
39 5
40 5
-38 6
-37 6
-36 6
-35 6
-34 6
-33 6
-32 6
-31 6
-30 6
-29 6
-28 6
-27 6
-26 6
-25 6
-24 6
-23 6
-22 6
-21 6
-20 6
-19 6
-18 6
-17 6
-16 6
-15 6
-14 6
-13 6
-12 6
-11 6
-10 6
-9 6
-8 6
-7 6
-6 6
-5 6
-4 6
-3 6
-2 6
-1 6
0 6
1 6
2 6
3 6
4 6
5 6
6 6
7 6
8 6
9 6
10 6
11 6
12 6
13 6
14 6
15 6
16 6
17 6
18 6
19 6
20 6
21 6
22 6
23 6
24 6
25 6
26 6
27 6
28 6
29 6
30 6
31 6
32 6
33 6
34 6
35 6
36 6
37 6
38 6
39 6
40 6
-38 7
-37 7
-36 7
-35 7
-34 7
-33 7
-32 7
-31 7
-30 7
-29 7
-28 7
-27 7
-26 7
-25 7
-24 7
-23 7
-22 7
-21 7
-20 7
-19 7
-18 7
-17 7
-16 7
-15 7
-14 7
-13 7
-12 7
-11 7
-10 7
-9 7
-8 7
-7 7
-6 7
-5 7
-4 7
-3 7
-2 7
-1 7
0 7
1 7
2 7
3 7
4 7
5 7
6 7
7 7
8 7
9 7
10 7
11 7
12 7
13 7
14 7
15 7
16 7
17 7
18 7
19 7
20 7
21 7
22 7
23 7
24 7
25 7
26 7
27 7
28 7
29 7
30 7
31 7
32 7
33 7
34 7
35 7
36 7
37 7
38 7
39 7
-38 8
-37 8
-36 8
-35 8
-34 8
-33 8
-32 8
-31 8
-30 8
-29 8
-28 8
-27 8
-26 8
-25 8
-24 8
-23 8
-22 8
-21 8
-20 8
-19 8
-18 8
-17 8
-16 8
-15 8
-14 8
-13 8
-12 8
-11 8
-10 8
-9 8
-8 8
-7 8
-6 8
-5 8
-4 8
-3 8
-2 8
-1 8
0 8
1 8
2 8
3 8
4 8
5 8
6 8
7 8
8 8
9 8
10 8
11 8
12 8
13 8
14 8
15 8
16 8
17 8
18 8
19 8
20 8
21 8
22 8
23 8
24 8
25 8
26 8
27 8
28 8
29 8
30 8
31 8
32 8
33 8
34 8
35 8
36 8
37 8
38 8
39 8
-37 9
-36 9
-35 9
-34 9
-33 9
-32 9
-31 9
-30 9
-29 9
-28 9
-27 9
-26 9
-25 9
-24 9
-23 9
-22 9
-21 9
-20 9
-19 9
-18 9
-17 9
-16 9
-15 9
-14 9
-13 9
-12 9
-11 9
-10 9
-9 9
-8 9
-7 9
-6 9
-5 9
-4 9
-3 9
-2 9
-1 9
0 9
1 9
2 9
3 9
4 9
5 9
6 9
7 9
8 9
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 9
17 9
18 9
19 9
20 9
21 9
22 9
23 9
24 9
25 9
26 9
27 9
28 9
29 9
30 9
31 9
32 9
33 9
34 9
35 9
36 9
37 9
38 9
39 9
-37 10
-36 10
-35 10
-34 10
-33 10
-32 10
-31 10
-30 10
-29 10
-28 10
-27 10
-26 10
-25 10
-24 10
-23 10
-22 10
-21 10
-20 10
-19 10
-18 10
-17 10
-16 10
-15 10
-14 10
-13 10
-12 10
-11 10
-10 10
-9 10
-8 10
-7 10
-6 10
-5 10
-4 10
-3 10
-2 10
-1 10
0 10
1 10
2 10
3 10
4 10
5 10
6 10
7 10
8 10
9 10
10 10
11 10
12 10
13 10
14 10
15 10
16 10
17 10
18 10
19 10
20 10
21 10
22 10
23 10
24 10
25 10
26 10
27 10
28 10
29 10
30 10
31 10
32 10
33 10
34 10
35 10
36 10
37 10
38 10
39 10
-37 11
-36 11
-35 11
-34 11
-33 11
-32 11
-31 11
-30 11
-29 11
-28 11
-27 11
-26 11
-25 11
-24 11
-23 11
-22 11
-21 11
-20 11
-19 11
-18 11
-17 11
-16 11
-15 11
-14 11
-13 11
-12 11
-11 11
-10 11
-9 11
-8 11
-7 11
-6 11
-5 11
-4 11
-3 11
-2 11
-1 11
0 11
1 11
2 11
3 11
4 11
5 11
6 11
7 11
8 11
9 11
10 11
11 11
12 11
13 11
14 11
15 11
16 11
17 11
18 11
19 11
20 11
21 11
22 11
23 11
24 11
25 11
26 11
27 11
28 11
29 11
30 11
31 11
32 11
33 11
34 11
35 11
36 11
37 11
38 11
-36 12
-35 12
-34 12
-33 12
-32 12
-31 12
-30 12
-29 12
-28 12
-27 12
-26 12
-25 12
-24 12
-23 12
-22 12
-21 12
-20 12
-19 12
-18 12
-17 12
-16 12
-15 12
-14 12
-13 12
-12 12
-11 12
-10 12
-9 12
-8 12
-7 12
-6 12
-5 12
-4 12
-3 12
-2 12
-1 12
0 12
1 12
2 12
3 12
4 12
5 12
6 12
7 12
8 12
9 12
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
21 12
22 12
23 12
24 12
25 12
26 12
27 12
28 12
29 12
30 12
31 12
32 12
33 12
34 12
35 12
36 12
37 12
38 12
-36 13
-35 13
-34 13
-33 13
-32 13
-31 13
-30 13
-29 13
-28 13
-27 13
-26 13
-25 13
-24 13
-23 13
-22 13
-21 13
-20 13
-19 13
-18 13
-17 13
-16 13
-15 13
-14 13
-13 13
-12 13
-11 13
-10 13
-9 13
-8 13
-7 13
-6 13
-5 13
-4 13
-3 13
-2 13
-1 13
0 13
1 13
2 13
3 13
4 13
5 13
6 13
7 13
8 13
9 13
10 13
11 13
12 13
13 13
14 13
15 13
16 13
17 13
18 13
19 13
20 13
21 13
22 13
23 13
24 13
25 13
26 13
27 13
28 13
29 13
30 13
31 13
32 13
33 13
34 13
35 13
36 13
37 13
-36 14
-35 14
-34 14
-33 14
-32 14
-31 14
-30 14
-29 14
-28 14
-27 14
-26 14
-25 14
-24 14
-23 14
-22 14
-21 14
-20 14
-19 14
-18 14
-17 14
-16 14
-15 14
-14 14
-13 14
-12 14
-11 14
-10 14
-9 14
-8 14
-7 14
-6 14
-5 14
-4 14
-3 14
-2 14
-1 14
0 14
1 14
2 14
3 14
4 14
5 14
6 14
7 14
8 14
9 14
10 14
11 14
12 14
13 14
14 14
15 14
16 14
17 14
18 14
19 14
20 14
21 14
22 14
23 14
24 14
25 14
26 14
27 14
28 14
29 14
30 14
31 14
32 14
33 14
34 14
35 14
36 14
37 14
-35 15
-34 15
-33 15
-32 15
-31 15
-30 15
-29 15
-28 15
-27 15
-26 15
-25 15
-24 15
-23 15
-22 15
-21 15
-20 15
-19 15
-18 15
-17 15
-16 15
-15 15
-14 15
-13 15
-12 15
-11 15
-10 15
-9 15
-8 15
-7 15
-6 15
-5 15
-4 15
-3 15
-2 15
-1 15
0 15
1 15
2 15
3 15
4 15
5 15
6 15
7 15
8 15
9 15
10 15
11 15
12 15
13 15
14 15
15 15
16 15
17 15
18 15
19 15
20 15
21 15
22 15
23 15
24 15
25 15
26 15
27 15
28 15
29 15
30 15
31 15
32 15
33 15
34 15
35 15
36 15
37 15
-35 16
-34 16
-33 16
-32 16
-31 16
-30 16
-29 16
